ticker,entry_date,entry,exit,pnl,exit_reason,type
DHT,136,79910.0,80709.1,1.0000000000000073,Trailing SL,EMA_CROSS
NAG,68,13500.0,12892.5,-4.5,Trailing SL,PULLBACK
NAG,78,14500.0,13847.5,-4.5,Trailing SL,EMA_CROSS
IPA,129,20600.0,20806.0,1.0,Trailing SL,PULLBACK
IPA,130,21300.0,20341.5,-4.5,Trailing SL,PULLBACK
IPA,132,21000.0,20055.0,-4.5,Trailing SL,PULLBACK
L14,76,33800.0,34138.0,1.0,Trailing SL,PULLBACK
LAS,76,20400.0,19482.0,-4.5,Trailing SL,PULLBACK
LDP,123,12000.0,12120.0,1.0,Trailing SL,PULLBACK
LDP,127,12000.0,11460.0,-4.5,Trailing SL,PULLBACK
LDP,129,12100.0,11555.5,-4.5,Trailing SL,PULLBACK
LDP,170,11900.0,11364.5,-4.5,Trailing SL,EMA_CROSS
LDP,174,11700.0,11173.5,-4.5,Trailing SL,PULLBACK
DTD,129,21900.0,20914.5,-4.5,Trailing SL,PULLBACK
HGM,105,290670.0,293576.7,1.000000000000004,Trailing SL,PULLBACK
HGM,108,290960.0,293869.6,0.999999999999992,Trailing SL,PULLBACK
HLD,191,21200.0,21412.0,1.0,Trailing SL,PULLBACK
SD9,77,11900.0,12019.0,1.0,Trailing SL,EMA_CROSS
